Sin dato,Sin dato,Sin dato,Datos erroneos no confiables de Sale-U,Sin dato,Sin dato,Sin dato,-,Sin datos,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,34,40,36,27,38,40,34,34,38,30,41,41,35,37,0.0,Conversion,Año actual ,Ultimos 3 meses 
Ventas X Mes ,Ventas Reportadas,12,7,8,13,6,21,17,17,23,22,32,26,20,30,30,34,40,36,27,38,40,34,34,38,30,41,41,35,37,0.0,Conversion,Año actual ,Ultimos 3 meses 
Piso,Ventas Reportadas,12,7,8,13,6,21,17,17,23,22,32,26,20,30,30,"Junio, 25","Julio, 25","Agosto, 25","Septiembre, 25","Octubre, 25","Noviembre, 25","Diciembre, 25","Enero, 26","Febrero, 26","Marzo, 26","Abril, 26","Mayo, 26","Junio, 26","Julio,26",0.0,Conversion,Año actual ,Ultimos 3 meses 
Piso ,"Febrero, 24","Marzo, 24","Abril, 24","Mayo, 24","Junio, 24","Julio, 24","Agosto, 24","Septiembre, 24","Octubre, 24","Noviembre, 24","Diciembre, 24","Enero, 25","Febrero, 25","Marzo, 25","Abril, 25","Mayo, 25","Junio, 25","Julio, 25","Agosto, 25","Septiembre, 25","Octubre, 25","Noviembre, 25","Diciembre, 25","Enero, 26","Febrero, 26","Marzo, 26","Abril, 26","Mayo, 26","Junio, 26","Julio,26",0.0,Historica,Año actual ,Ultimos 3 meses 
Citas Efectivas ,4,16,6,16,60,57,46,19,25,14,36,71,64,80,34,65,59,63,71,58,72,81,76,97,94,105,10,59,25,8,0.0,Cota (Ventas) Ultimos 6ms,Optima ,Maxima 
Ventas ,9,4,10,1,3,10,9,6,3,11,8,10,11,9,13,12,10,7,7,7,11,9,9,6,7,8,9,9,11,2,0.0,Cota (Ventas) Ultimos 6ms,Optima ,Maxima 
Conversion ,0.02735562310030395,0.21052631578947367,0.13157894736842105,0.011494252873563218,0.05454545454545454,0.10869565217391304,0.11688311688311688,0.10526315789473684,0.06976744186046512,0.22,0.125,0.14084507042253522,0.171875,0.1125,0.3023255813953488,0.18461538461538463,0.1694915254237288,0.1111111111111111,0.09859154929577464,0.1206896551724138,0.1527777777777778,0.1111111111111111,0.11842105263157894,0.061855670103092786,0.07446808510638298,0.0761904761904762,0.11392405063291139,0.0782608695652174,0.12941176470588237,0.05555555555555555,0.0,Minima ,Optima ,Maxima 
Aporte ,0.02735562310030395,0.3333333333333333,1.4285714285714286,0.125,0.23076923076923078,1.6666666666666667,0.42857142857142855,0.35294117647058826,0.17647058823529413,0.4782608695652174,0.36363636363636365,0.3125,0.4230769230769231,0.45,0.43333333333333335,0.4,0.29411764705882354,0.175,0.19444444444444445,0.25925925925925924,0.2894736842105263,0.225,0.2647058823529412,0.17647058823529413,0.18421052631578946,0.26666666666666666,0.21951219512195122,0.21951219512195122,0.3142857142857143,0.05405405405405406,0.0,6.953454795302871,8.6,10.08452340487516
Aporte ,0.02735562310030395,0.3333333333333333,1.4285714285714286,0.125,0.23076923076923078,1.6666666666666667,0.42857142857142855,0.35294117647058826,0.17647058823529413,0.4782608695652174,0.36363636363636365,0.3125,Promedio  conversion Historico ,0.12699773584118756,Promedio Aporte Historico,0.3032215036454688,5.9,9,10.142857142857142,8.285714285714286,6.545454545454546,9,8.444444444444445,16.166666666666668,13.428571428571429,13.125,8.777777777777779,12.777777777777779,7.7272727272727275,18,0.0,"* Suma de todas las Plazas Angelopolis + Plaza Tlax y Pachuca,",Año actual ,Ultimos 3 meses 
Aporte ,36.55555555555556,4.75,7.6,87,18.333333333333332,9.2,8.555555555555555,9.5,14.333333333333334,4.545454545454546,8,7.1,5.818181818181818,8.88888888888889,3.3076923076923075,5.416666666666667,5.9,9,10.142857142857142,8.285714285714286,6.545454545454546,9,8.444444444444445,16.166666666666668,13.428571428571429,13.125,8.777777777777779,12.777777777777779,7.7272727272727275,18,0.0,"* Suma de todas las Plazas Angelopolis + Plaza Tlax y Pachuca,",Año actual ,Ultimos 3 meses 
Plazas,36.55555555555556,4.75,7.6,87,18.333333333333332,9.2,8.555555555555555,9.5,14.333333333333334,4.545454545454546,8,7.1,5.818181818181818,8.88888888888889,3.3076923076923075,5.416666666666667,"Junio, 25","Julio, 25","Agosto, 25","Septiembre, 25","Octubre, 25","Noviembre, 25","Diciembre, 25","Enero, 26","Febrero, 26","Marzo, 26","Abril, 26","Mayo, 26","Junio, 26","Julio,26",0.0,Conversion,Año actual ,Ultimos 3 meses 
Plazas ,"Febrero, 24","Marzo, 24","Abril, 24","Mayo, 24","Junio, 24","Julio, 24","Agosto, 24","Septiembre, 24","Octubre, 24","Noviembre, 24","Diciembre, 24","Enero, 25","Febrero, 25","Marzo, 25","Abril, 25","Mayo, 25","Junio, 25","Julio, 25","Agosto, 25","Septiembre, 25","Octubre, 25","Noviembre, 25","Diciembre, 25","Enero, 26","Febrero, 26","Marzo, 26","Abril, 26","Mayo, 26","Junio, 26","Julio,26",0.0,Historica,Año actual ,Ultimos 3 meses 
Leads ,0,0,25,28,68,294,248,52,59,154,280,172,184,275,301,275,355,492,397,312,324,274,325,290,433,401,351,352,403,145,0.0,0.022809647402899546,0.019441017761450814,0.019441017761450814
Efectivos ,0,0,25,28,68,294,248,52,59,154,280,172,184,275,301,275,35,36,281,218,226,209,291,261,387,364,351,347,403,145,0.0,Aporte,Año actual ,Ultimos 3 meses 
SDC ,-,-,-,-,-,-,-,-,-,-,26,22,16,27,19,23,35,36,25,44,38,31,34,23,25,26,12,18,16,3,0.0,Aporte,Año actual ,Ultimos 3 meses 
PDM ,-,-,1,11,5,6,17,8,5,19,14,22,28,20,23,23,44,37,30,41,43,33,18,15,39,35,30,31,41,12,0.0,Historica,Año actual ,Ultimos 3 meses 
Citas Programadas ,-,-,1,3,2,30,50,13,13,20,40,53,48,35,52,29,90,77,67,74,77,60,46,23,105,70,41,68,100,26,0.0,0.21568967619395943,0.19914605979319414,0.19914605979319414
Citas Programadas ,-,-,1,3,2,30,50,13,13,20,40,53,48,35,52,29,61,51,44,52,48,32,0.14153846153846153,0.07931034482758621,0.24249422632794457,0.1745635910224439,0.1168091168091168,0.19318181818181818,0.24813895781637718,0.1793103448275862,0.0,Cota (Ventas) Ultimos 6ms,Optima ,Maxima 
Citas Efectivas ,-,-,1,2,2,8,18,4,6,10,19,35,36,28,25,27,61,51,44,52,48,32,41,19,82,55,31,49,59,15,0.0,Cota (Ventas) Ultimos 6ms,Optima ,Maxima 
Citas Efectivas ,-,-,1,2,2,8,18,4,6,10,19,35,36,28,25,27,13,14,6,15,12,11,9,0.06551724137931035,0.18937644341801385,0.1371571072319202,0.08831908831908832,0.13920454545454544,0.14640198511166252,1,0.0,Cota (Ventas) Ultimos 6ms,Optima ,Maxima 
Ventas ,0,0,0,0,0,2,3,0,2,3,7,4,1,3,8,5,13,14,6,15,12,11,9,6,6,7,7,7,10,1,0.0,Cota (Ventas) Ultimos 6ms,Optima ,Maxima 
Conversion ,0,0,0,0,0,0.006802721088435374,0.012096774193548387,0,0.03389830508474576,0.01948051948051948,0.025,0.023255813953488372,0.005434782608695652,0.01090909090909091,0.026578073089700997,0.01818181818181818,0.036619718309859155,0.028455284552845527,0.015113350125944584,0.04807692307692308,0.037037037037037035,0.040145985401459854,0.027692307692307693,0.020689655172413793,0.013856812933025405,0.017456359102244388,0.019943019943019943,0.019886363636363636,0.02481389578163772,0.006896551724137931,0.0,Minima ,Optima ,Maxima 
Aporte ,0,0,0,0,0,0.3333333333333333,0.14285714285714285,0,0.11764705882352941,0.13043478260869565,0.3181818181818182,0.125,0.038461538461538464,0.15,0.26666666666666666,0.16666666666666666,0.38235294117647056,0.35,0.16666666666666666,0.5555555555555556,0.3157894736842105,0.275,0.2647058823529412,0.17647058823529413,0.15789473684210525,0.23333333333333334,0.17073170731707318,0.17073170731707318,0.2857142857142857,0.02702702702702703,0.0,5.694706522278693,7.166666666666667,8.63862681105464
Aporte ,0,0,0,0,0,0.3333333333333333,0.14285714285714285,0,0.11764705882352941,0.13043478260869565,0.3181818181818182,0.125,Promedio  conversion Historico ,0.02116192834509233,Promedio Aporte Historico,0.21989772239832012,27.307692307692307,35.142857142857146,66.16666666666667,20.8,27,24.90909090909091,36.111111111111114,48.333333333333336,72.16666666666667,57.285714285714285,50.142857142857146,50.285714285714285,40.3,145,0.0,        * Suma de todos los canales digitales ,Año actual ,Ultimos 3 meses 
Aporte ,0,0,0,0,0,147,82.66666666666667,0,29.5,51.333333333333336,40,43,184,91.66666666666667,37.625,55,27.307692307692307,35.142857142857146,66.16666666666667,20.8,27,24.90909090909091,36.111111111111114,48.333333333333336,72.16666666666667,57.285714285714285,50.142857142857146,50.285714285714285,40.3,145,0.0,        * Suma de todos los canales digitales ,Año actual ,Ultimos 3 meses 
Digital ,0,0,0,0,0,147,82.66666666666667,0,29.5,51.333333333333336,40,43,184,91.66666666666667,37.625,55,"Junio, 25","Julio, 25","Agosto, 25","Septiembre, 25","Octubre, 25","Noviembre, 25","Diciembre, 25","Enero, 26","Febrero, 26","Marzo, 26","Abril, 26","Mayo, 26","Junio, 26","Julio,26",0.0,Conversion,Año actual ,Ultimos 3 meses 
Digital ,"Febrero, 24","Marzo, 24","Abril, 24","Mayo, 24","Junio, 24","Julio, 24","Agosto, 24","Septiembre, 24","Octubre, 24","Noviembre, 24","Diciembre, 24","Enero, 25","Febrero, 25","Marzo, 25","Abril, 25","Mayo, 25","Junio, 25","Julio, 25","Agosto, 25","Septiembre, 25","Octubre, 25","Noviembre, 25","Diciembre, 25","Enero, 26","Febrero, 26","Marzo, 26","Abril, 26","Mayo, 26","Junio, 26","Julio,26",0.0,Historica,Año actual ,Ultimos 3 meses 
Leads ,57,145,129,463,350,192,1112,1353,1142,846,755,202,207,491,749,361,576,699,827,676,688,554,908,922,635,980,834,667,748,298,0.0,0.013748365949726664,0.011774731869024196,0.010814622760818515
Efectivos ,57,145,129,463,350,192,1112,1353,1142,846,755,202,207,491,749,361,19,29,239,344,329,342,594,674,457,618,179,170,200,64,0.0,Aporte,Año actual ,Ultimos 3 meses 
SDC ,-,-,-,-,-,-,-,-,-,-,-,21,28,13,6,15,19,29,29,36,50,42,39,23,21,16,32,30,28,3,0.0,Aporte,Año actual ,Ultimos 3 meses 
PDM ,-,-,-,-,-,-,-,8,7,17,28,22,24,16,17,26,21,33,31,31,32,22,23,22,22,25,35,35,28,12,0.0,Historica,Año actual ,Ultimos 3 meses 
